["དེ་"] ["ནི་"]	1	+	[]
["རྟག་"] ["ཏུ་"]	1	+	[]
["དེ་"] ["ཡི་"]	1	+	[]
["འདི་"] ["ནི་"]	1	+	[]
["མ་"] ["ཡིན་"]	1	+	[]
["མཐའ་"] ["ཡས་"]	1	+	[]
["དེ་"] ["ལ་"]	1	+	[]
["ཡིན་"] ["ནོ"] ["།_།"]	1	+	[]
["མ་"] ["ཡིན"] ["།_།"]	1	+	[]
["རྒྱ་"] ["ཆེན་"]	1	+	[]
["དེ་"] ["ཚེ་"]	1	+	[]
["བོད་སྐད་"] ["དུ"]	1	+	[]
["ལྷ་"] ["ཡི་"]	1	+	[]
["གཞན་"] ["ཡང་"]	1	+	[]
["མ་"] ["ལུས་"]	1	+	[]
["ཚད་"] ["མེད་"]	1	+	[]
["ཅི་"] ["ཡི་"] ["ཕྱིར་"]	1	+	[]
["བླ་"] ["ན་"]	1	+	[]
["དོན་"] ["གཅིག་"]	1	+	[]
["བར་"] ["དུ་"]	1	+	[]
["ཉིན་"] ["གཅིག་"]	1	+	[]
["ཡི་"] ["རང་"]	1	+	[]
["ཕྱིར་ཡང་"] ["དག་"]	1-5	::	[pos="OTHER"][pos="PART"]
["ཕྱིར་"] ["ཡང་"] ["དག་"]	2	+	[pos="ADJ"]
["དེ་ལྟ་"] ["བུ་"]	1-3	::	[pos="PART"][pos="NOUN"]
["དེ་"] ["ལྟ་"] ["བུ་"]	2	+	[pos="NOUN"]
["ལ"&pos="PART"] ["ས་"&pos="PART"]	1	+	[pos="PART"]
["ལ"&pos="PART"] ["ས"&pos="PART"] ["།_།"]	1	+	[pos="PART"]
["ངེས་པར་"]	1-5	::	[pos="VERB"][pos="PART"]
["ཡོངས་སུ་"]	1-5	::	[pos="DET"][pos="PART"]
["གང་ཡིན་པ"] ["།_།"]	1-3	::	[][pos="AUX"]
["ཉེ་བར་"]	1-4	::	[pos="VERB"][pos="PART"]
["ཇི་ལྟ་བུར"] ["།_།"]	1-3	::	[][]
["འཚོག་"] ["ཆ"&pos="NOUN"] ["ས་"&pos="PART"]	2	+	[pos="NOUN"]
["མངོན་པར་"] [pos="VERB"]	1-6	::	[pos="VERB"][pos="PART"]
[pos="VERB"] ["ཡོངས་སུ་"]	2-5	::	[pos="DET"][pos="PART"]
["རྗེས་སུ་"]	1-5	::	[pos="NOUN"][pos="PART"]
["ཅིས་"] ["མི་"]	1-2	::	[][pos="PART"]
["རྗེས་སུ་"&pos="VERB"]	1-5	::	[pos="NOUN"][pos="PART"]
["ལ་སོགས་པ"] ["།_།"]	1-2	::	[pos="PART"][pos="DET"]
["ཇི་ལྟ་བུར་"] ["ན་"]	1-3	::	[][]
